plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
58697,L V Sutton Combined Cycle,NC,34.283056,-77.985278,CPLE,851.0,121.0,730.0,5,0.20720774050771418,0.1593905696213186
55694,Quantum Choctaw Power LLC,MS,33.3792,-89.2089,TVA,850.5,0.0,850.5,3,0.20719341805215558,0.15937955234781198
56047,CPV Towantic Energy Center,CT,41.481243,-73.123108,ISNE,841.5,0.0,841.5,3,0.1947271112633643,0.1497900855872033
55149,Lake Road Generating Plant,CT,41.872043,-71.895799,ISNE,840.0,0.0,840.0,3,0.19279030407290199,0.1483002339022323
57037,Ratcliffe,MS,32.654722,-88.762222,SOCO,840.0,0.0,840.0,3,0.2049159438869378,0.1576276491437983
55801,Marcus Hook Energy LP,PA,39.807038,-75.421606,PJM,836.0999999999999,0.0,836.0999999999999,4,0.19995632126565344,0.1538125548197334
59773,Carroll County Energy,OH,40.60441,-81.05918,PJM,832.3,0.0,832.3,3,0.18118876000003337,0.1393759692307949
60302,Keys Energy Center,MD,38.695519,-76.827785,PJM,830.6,0.0,830.6,3,0.20696305490876366,0.1592023499298182
57267,Marsh Landing Generating Station,CA,38.016944,-121.765,CISO,828.0,828.0,0.0,4,0.24753895648957785,0.1904145819150599
3456,Newman,TX,31.983587,-106.431777,EPE,824.8,227.8,597.0,7,0.27209566606136204,0.20930435850874002
55620,Perryville Power Station,LA,32.6908,-92.0183,MISO,824.1,186.2,637.9,4,0.20893615155341813,0.1607201165795524
55411,Hillabee Energy Center,AL,33.000669,-85.903278,SOCO,822.8,0.0,822.8,3,0.20692771633782572,0.1591751664137121
55320,Wise County Power LLC,TX,33.0583,-97.9103,ERCO,821.7,0.0,821.7,3,0.2310190476789125,0.1777069597530096
55239,Red Oak Power LLC,NJ,40.448674,-74.348879,PJM,821.0999999999999,0.0,821.0999999999999,4,0.19481652331099308,0.1498588640853793
55047,Pasadena Cogeneration,TX,29.72475,-95.176479,ERCO,815.0,0.0,815.0,5,0.21445196458562255,0.16496304968124811
55234,Audrain Generating Station,MO,39.3092,-91.5369,MISO,814.4,814.4,0.0,8,0.21010947733434868,0.1616226748725759
59004,"Potomac Energy Center, LLC",VA,39.058056,-77.545,PJM,812.0,0.0,812.0,3,0.20092503769505152,0.1545577213038858
6124,McIntosh,GA,32.356287,-81.168347,SOCO,810.4,810.4,0.0,8,0.21382510665027812,0.1644808512694447
1363,Cane Run,KY,38.1831,-85.8892,LGEE,807.0,0.0,807.0,3,0.20076286978487637,0.1544329767575972
55172,Thad Hill Energy Center,TX,31.8594,-97.3586,ERCO,807.0,0.0,807.0,5,0.22403039667913177,0.1723310743685629
116,Ocotillo,AZ,33.4225,-111.9122,AZPS,806.2,806.2,0.0,7,0.26286759437577806,0.20220584182752158
58005,Rayburn Energy Station LLC,TX,33.582573,-96.617893,ERCO,803.2,0.0,803.2,3,0.2242846206375819,0.17252663125967838
55197,Caledonia,MS,33.6464,-88.2717,TVA,801.0,0.0,801.0,6,0.20421989775227742,0.1570922290402134
55123,Magic Valley Generating Station,TX,26.3403,-98.19,ERCO,801.0,0.0,801.0,3,0.22919822831665124,0.1763063294743471
57482,"Sentinel Energy Center, LLC",CA,33.934167,-116.571388,CISO,800.0,800.0,0.0,8,0.2787518969663846,0.21442453612798812
7981,Mill Creek (SC),SC,35.1597,-81.4306,DUK,799.2,799.2,0.0,8,0.21738032210804026,0.1672156323908002
60903,Salem Harbor Power Development LP,MA,42.525486,-70.878239,ISNE,798.2,0.0,798.2,4,0.19743105391063615,0.1518700414697201
55348,Troy Energy LLC,OH,41.47724,-83.45983,PJM,795.6,795.6,0.0,4,0.18702830884799462,0.1438679298830728
55332,Washington County Power LLC,GA,33.092239,-82.979992,SOCO,795.6,795.6,0.0,4,0.21167385429893182,0.1628260417684091
7835,Essential Power Rock Springs LLC,MD,39.71901,-76.15976,PJM,795.6,795.6,0.0,4,0.20011043520277327,0.15393110400213328
55170,Granite Ridge,NH,42.9042,-71.4261,ISNE,790.0,0.0,790.0,3,0.1916881876431331,0.1474524520331793
55139,Wolf Hollow I LP,TX,32.33422,-97.731686,ERCO,788.4000000000001,0.0,788.4000000000001,3,0.23058158343453455,0.1773704487957958
7846,Brandy Branch,FL,30.320556,-81.947222,JEA,783.1,185.0,598.1,4,0.21275814583909342,0.16366011218391802
55402,Renaissance Power Plant,MI,43.1864,-84.8429,MISO,782.0,782.0,0.0,4,0.184443139698171,0.1418793382293623
57794,St Joseph Energy Center,IN,41.698992,-86.479699,PJM,780.0,0.0,780.0,3,0.18466925015703411,0.1420532693515647
55656,"Pastoria Energy Facility, LLC",CA,34.9556,-118.844,CISO,779.0,0.0,779.0,5,0.24896212415652386,0.1915093262742491
55337,Ironwood LLC,PA,40.3509,-76.3658,PJM,777.5999999999999,0.0,777.5999999999999,3,0.1953354868307128,0.150258066792856
56846,CPV St Charles Energy Center,MD,38.5686,-76.8919,PJM,775.3,0.0,775.3,3,0.2022993909508425,0.1556149161160327
57839,Woodbridge Energy Center,NJ,40.515,-74.318889,PJM,772.9,0.0,772.9,3,0.19481652331099308,0.1498588640853793
56940,CPV Valley Energy Center,NY,41.4122,-74.4378,NYIS,770.5,0.0,770.5,3,0.18767942450755887,0.1443687880827376
56963,West Deptford Energy Station,NJ,39.8414,-75.2214,PJM,754.6,0.0,754.6,3,0.2080655032658584,0.16005038712758338
55409,Calhoun Energy Center,AL,33.5883,-85.9731,SOCO,748.0,748.0,0.0,4,0.20445964037081676,0.1572766464390898
55714,Magnet Cove,AR,34.4297,-92.8317,MISO,746.0,0.0,746.0,3,0.20487698162042126,0.1575976781695548
55129,Desert Basin,AZ,32.9042,-111.7889,SRP,745.1,99.0,646.1,5,0.26845428880870714,0.2065032990836209
7082,Harry Allen,NV,36.430554,-114.902405,NEVP,745.0,186.5,558.5,5,0.2676994675528917,0.20592266734837822
56104,Mankato Energy Center,MN,44.1988,-94.003,MISO,740.8,0.0,740.8,3,0.19755152548398813,0.1519627119107601
55701,Fremont Energy Center,OH,41.377116,-83.161388,PJM,739.5,0.0,739.5,3,0.19233737410426083,0.1479518262340468
57029,Cleveland Cnty Generating Facility,NC,35.170547,-81.416648,DUK,736.0,736.0,0.0,4,0.21738032210804026,0.1672156323908002
58079,Newark Energy Center,NJ,40.707222,-74.125833,PJM,735.0,0.0,735.0,3,0.195554052378786,0.1504261941375277
56,Lowman Energy Center,AL,31.488019,-87.910747,SOCO,732.7,0.0,732.7,2,0.20963379361038093,0.16125676431567762
3441,Nueces Bay,TX,27.819412,-97.419203,ERCO,730.2,0.0,730.2,3,0.22977847958814307,0.1767526766062639
