plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
7999,False,26.37741838557598,44.40147796087029,0.6492546875,0.1119765625,0.6146,Grays Harbor Energy Facility,WA
55418,False,46.14727748093581,144.09865377782864,0.20735,0.0,0.606103125,Hot Spring Generating Facility,AR
55282,False,96.68059826248209,96.68059826248209,0.0760890625,0.4860203125,0.0,Arlington Valley Energy Facility,AZ
56532,False,134.38833893134955,134.38833893134955,0.2839890625,0.084615625,4.6875e-06,Colusa Generating Station,CA
55345,False,11.548199731356991,11.550632174955808,0.591403125,0.2555515625,0.0007515625,Otay Mesa Generating Project,CA
8049,False,30.865276825394098,37.47248862366755,0.0035609375,0.1109453125,0.0339296875,Intercession City,FL
55177,False,58.52806790697373,58.530847842515236,0.1085359375,0.61364375,3.4375e-05,South Point Energy Center,AZ
7238,False,26.47610609729943,33.421080063865816,0.0032109375,0.099875,0.035028125,Cane Island,FL
58236,False,165.86693903558833,171.41186796506398,0.0742546875,0.01670625,0.0458265625,Marshalltown Generating Station,IA
7838,True,85.51324970031138,,,,,Remington,VA
55334,False,151.96795631194567,192.39030403709336,0.05903125,0.0068328125,0.240471875,Holland Energy Facility,IL
55267,False,43.69502684138517,127.71301871230922,0.2955640625,0.000109375,0.62833125,Edward L. Addison Generating Plant,GA
62116,False,3.3988186914332963,3.4151508127396415,0.0298171875,0.0227125,0.00014375,AES Huntington Beach Energy Project,CA
2723,False,44.20722996490758,116.69960908074937,0.3352796875,0.0169984375,0.59924375,Dan River,NC
2720,False,48.42543465719966,122.67264808361686,0.122934375,0.0499484375,0.4490046875,Buck,NC
7900,False,103.3659957478604,136.0601226676225,0.0390671875,0.0160265625,0.16703125,Sand Hill,TX
56798,False,9.29610445079476,54.97843771241376,0.3791,0.1946765625,0.5697703125,Kleen Energy Systems Project,CT
55111,False,136.68977806777352,174.97678780510222,0.1057734375,0.0196453125,0.274521875,Vermillion Energy Facility,IN
