plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
60356,South Field Energy,OH,40.63534,-80.678245,PJM,1210.4,0.0,1210.4,4,8597458.0,0.8108435039399783,0.1381088520930233,0.1381088520930233,12.654614076876223,1156.9932870286832,30.272803063110715,2767.7991371986936,4.458321624689622,407.61797711447963,9.669310797241888,884.0512728906867
117,West Phoenix,AZ,33.4417,-112.1583,AZPS,1207.4,106.2,1101.2,10,3309267.0,0.312879083550979,0.204880664861031,0.204880664861031,18.11475497233593,1656.2061688992849,18.11475497233593,1656.2061688992849,4.2105598695529345,384.9654737876968,4.2105598695529345,384.9654737876968
60589,CPV Fairview Energy Center,PA,40.412,-78.855,PJM,1197.0,0.0,1197.0,3,7610155.0,0.7257637053058826,0.1335918584236066,0.1335918584236066,8.403745141971457,768.3424129802474,34.39197255173665,3144.408919015922,2.298311708939763,210.13135624592115,9.011161057790433,823.8775824265538
60368,Hummel Station LLC,PA,40.839014,-76.825517,PJM,1194.4,0.0,1194.4,4,7573388.0,0.7238295454893001,0.1426795021701048,0.1426795021701048,30.954929746607654,2830.165005404128,40.80389387821934,3730.641726008625,5.234271132712375,478.5619321337028,7.62675315812064,697.3031458853155
6071,Trimble County,KY,38.5847,-85.4117,LGEE,1194.0,1194.0,0.0,6,1538690.0,0.147110170334167,0.1533647710571037,0.1533647710571037,34.36556316409235,3141.9943464313,53.859513656957745,4924.298391493279,6.814316996115626,623.0232682162857,11.66808445158442,1066.7962927162896
7826,Rowan,NC,35.7314,-80.6019,DUK,1192.0,598.2,593.8,6,4137517.82,0.3962410955073396,0.1678403423646063,0.1678403423646063,45.43144407899812,4153.732030079827,85.77213119761409,7842.023423781859,11.653489789991516,1065.4619236563672,22.68913890588341,2074.43555710934
55382,Thomas A Smith Energy Facility,GA,34.7094,-84.9175,SOCO,1192.0,0.0,1192.0,6,8524594.0,0.8163818531457816,0.1568205453967611,0.1568205453967611,22.07303569149723,2018.1061203654606,58.94193081071538,5388.976531265405,5.972691510924802,546.0746524274105,15.857447312633374,1449.8237542979082
3469,T H Wharton,TX,29.9417,-95.5306,ERCO,1189.9,526.3,663.6,17,671810.0,0.0644513314307138,0.1601961260542267,0.1601961260542267,4.693921161832222,429.15850622466024,8.316872156299407,760.3997400045172,1.4688484417430265,134.29471467364812,2.024140566158772,185.06428033451627
136,Seminole (FL),FL,29.733056,-81.632778,SEC,1183.2,0.0,1183.2,3,8279282.0,0.7987859330474435,0.1708291452513589,0.1708291452513589,24.241732905814292,2216.387008531592,59.58409592080317,5447.6887699020035,5.200216922328932,475.44840432721656,15.396325504686132,1407.6640461427319
55297,New Covert Generating Facility,MI,42.32238,-86.29368,PJM,1176.0,0.0,1176.0,6,7172013.0,0.6961929806169043,0.1454320265821401,0.1454320265821401,21.747088249255697,1988.3052113605206,41.07841251294302,3755.7405726119327,4.047586148432168,370.0650192852267,10.6791223826938,976.3769035605759
55464,Deer Park Energy Center,TX,29.713414,-95.134508,ERCO,1176.0,0.0,1176.0,6,8003840.0,0.7769390861367378,0.1649630496812481,0.1649630496812481,7.975635068579594,729.2009205558485,10.043907111459768,918.3000787620358,1.2777278732645159,116.82083412704144,1.7729038915952027,162.09407008870423
55460,Indeck Niles Energy Center,MI,41.862114,-86.221394,PJM,1174.4,0.0,1174.4,3,6228822.0,0.6054604391400097,0.1466522360804935,0.1466522360804935,57.052964610262315,5216.271050081125,77.19081767292896,7057.4461872392185,13.461142875855538,1230.7330629353633,17.362434916415975,1587.4226209294602
3393,Allen,TN,35.074087,-90.14868,TVA,1170.9,0.0,1170.9,3,6401391.0,0.6240946257240362,0.1608250458829845,0.1608250458829845,33.431157330203774,3056.5629559043446,40.02064703940013,3659.03058645944,5.818752580313929,532.0002359144163,7.611811004585047,695.93700613349
47,Colbert,AL,34.7439,-87.8486,TVA,1169.6,1169.6,0.0,11,320618.0,0.0312929448619205,0.1594835268454135,0.1594835268454135,49.898105510312256,4562.112503799977,67.15142795672413,6139.55912747192,12.249438471701781,1119.9486602698769,18.37572142129477,1680.0659585183787
54547,Sithe Independence Station,NY,43.495,-76.4511,NYIS,1157.8,0.0,1157.8,6,6158049.9,0.6071633553953294,0.1377111910555712,0.1377111910555712,10.284371535800004,940.2853975588573,38.169557460700084,3489.788110692579,3.2612118821287686,298.1679435089159,11.69692628282754,1069.4332601442322
55151,La Paloma Generating Plant,CA,35.2956,-119.5919,CISO,1156.0,0.0,1156.0,4,2096605.0,0.2070401992384383,0.1947774193917452,0.1947774193917452,25.095868100941892,2294.4793692289727,25.095868100941892,2294.4793692289727,7.061036275424248,645.5804594673598,7.061036275424248,645.5804594673598
7834,John S Rainey,SC,34.347734,-82.774478,SC,1154.3,609.7,544.6,8,4253491.0,0.4206517658609836,0.1607620891281958,0.1607620891281958,38.129248395348256,3486.10271043184,68.85587593560976,6295.394371255748,8.56359143560803,782.9569312555913,16.096521769202855,1471.681990327118
55690,Bethlehem Power Plant,PA,40.6175,-75.3147,PJM,1153.0,0.0,1153.0,8,5933716.699999999,0.5874804163844962,0.1473290860079968,0.1473290860079968,19.841442435553603,1814.0747369649007,31.689180221507822,2897.2964773950007,3.09094083021155,282.60030447648455,6.0074407051936225,549.2517216177025
